tweet,sarcasm,sentiment,dialect
  وقت الشدة في ظنتي الجيش المصري حيوقف مع السعودية ماراح يتبعو سيسي ولا غيروا عشان كذا لعاد يوزعو فلوس خلاص كفاية,TRUE,NEG,egypt
عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش  إذاعة البيان   ,FALSE,NEU,msa
القطريين اختتطفو لانهم من الاسره الحاكمه وليس لانهم سنه لغرظ مساومتهم في اسراهم في سوريا من حزب الله والله يفك اسرا ,FALSE,NEG,msa
انت لسه مبقتش من شركاء اوبر  الفرصه لسه فأديك  و بـ  خطوات بس  هتجيب فيش وتشبيه موجه لشركه اوبر ,FALSE,NEU,egypt
مفحوص مفعوص من حماة المحتله ترك حماة وحلب والساحل النصيري وذهب يشتغل كلب عند الناتو لجهنم وبئس المصير درعالفرات ,TRUE,NEG,msa
عاجل عرسال عاصفة ثلجية تهدد حياة الالاف النازحين السوريين في منطقة عرسال ماسةالثورةالسورية,FALSE,NEU,msa
لوكانبخاطري نفسي اطلع لعمل تطوعي لمساعدة النازحين السوريين,FALSE,POS,levant
انا اشفق على هيلاري كلنتون فهي مضطره لمناظره خبل نص كلامه مو مفهوم,TRUE,NEG,msa
دولةالخلافة  القوات العراقية تفكك العبوات الناسفة التي خلفها داعش بجزيرة الرمادي  ,FALSE,NEU,msa
 برضو سأنتخبالسيسىومشهنزللمستواك,FALSE,NEG,egypt
انتخاب مرسي بالقطع ليس سبة ولدى اصدقاء لا اشك في ثوريتهم انتخبوه لكني ببساطة لم انتخبه وقاطعت وان كان هو الان الرئيس الشرعي,FALSE,NEU,msa
خطرفيالقدس يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا القدس وآخرها صوت مآذنها الذي يقاوم الاحتلال,FALSE,NEG,msa
    العصابة الوهابية تحارب جبهة النصرة وتركت جيوش المجوس تسرح في حلب ههههههه,TRUE,NEG,msa
 هههههههههههههه كمان حكاها بشار الأسد بعد ما صلى العيد بداريا ,TRUE,NEG,levant
ماجدةواصف لا أعرف من هي سماالمصري و مهرجانالقاهرةالسينمائي لم يوجه الدعوة لها مصريات ,TRUE,NEG,msa
  الارهابصناعهامريكيهلاسعوديه قانونجاستامحمد الملا يتكلم عن مذكرات هيلارى كلنتون ,FALSE,NEG,msa
 قبل كنت اتابع فيدرر بس كرهت نادال يوم طلع,FALSE,NEG,gulf
شمعة الكترونية لمستخدمي أجهزة أبل ,FALSE,NEU,msa
   صار حزبالله مثل فيلقالقدسيتحدث عن فلسطين وهو يقتل العرب ويدمر حلب,FALSE,NEG,levant
الإعلامي عكاشة اتغير درجة بقي بيبرر ارتفاع جميع الأسعار علي المواطن محدود الدخل بكل الوسائل وبقي زي القط الاليف هي مرتبات الاعلاميين بتعمل كدة,TRUE,NEG,msa
  جستن بيبر ,FALSE,NEU,msa
حماس ما بعد مشعل بعيون إسرائيل ,FALSE,NEU,msa
حواري مع النجمة الذهبية نوالالزغبي على صفحات جريدة الوطن وتصرح الآن أصبحت ناضجة   ,FALSE,POS,msa
الانفاق قاتلة الجنود والمدرعات في حلب جبهةالنصرة اشترت من داعش أسلحة من تدمر   ,FALSE,NEG,msa
 لا انا انصحك تعدل لغتك العربية بعدها تدخل الجامعة,FALSE,NEG,egypt
طول م انا بتخانق وبعاتبك يبقا لسه باقيه عليك وبحبك المصيبه بقا لو بطلت اعمل كدا اعرف انك مبقتش تهمني ولا تفرق معايا,FALSE,NEG,msa
    نادين نسيب نجيم,FALSE,NEU,msa
 اليوم يمكن اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي,FALSE,NEU,levant
  اللهم كما نصرت عبدك موسى في مثل هذا اليوم فأنصر عبادك في العراق و سوريا و اليمن نصرا عاجلا و نسألك أن تحمي وطننا وجنودن,FALSE,POS,msa
محد صاح ,FALSE,NEU,msa
  يعني على اساس لو ما حلف الناتو والسعودية وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا على مخفر,FALSE,NEG,gulf
الاهليضمكدوووريالمحترررفينإذا أراد أحدكم الكلام فعليه أن يفكر في كلامه فإن ظهرت المصلحة تكلم وإن شك لم يتكلم حتى تظهر,FALSE,NEU,levant
كارثة يرتكبها كل من يقول أن المولدالنبوي بدعةالإسلام أهلالسنة ألأزهر المولدالشريف الدعوةالنجدية ,FALSE,NEG,msa
 الله يرحمه ويعفو عنهكان من حزب الخونهاللهم تجاوز عنه واغفر له وامسح ذنوبه يارب,FALSE,NEG,msa
اللهم أنصر أخواننا في حلـب وارحم المستضعفين منهم واجعل تدبير اعداءهم في تدميرهم وعجّل لنا بنصـرهم يارحيم ,FALSE,POS,msa
في قلبي رجل                             يلغي كل رجال ,FALSE,POS,msa
مبارياتالخميس  ديسمبرريالمدريدكلوبأمريكاالشبابالإتفاقالباطنالفيصليالجيشالغرافهجنوىفيورنتينا ,FALSE,NEU,msa
اتفاق بملياري دولار بين الصين و مصر لتبادل العملات          ,FALSE,NEU,msa
إثر هجومهما الهمجي على حلب البيت الأبيض يحذر الأسد و روسياسوريا واشنطن روسياتحرقحلب تدميرالمشافي,FALSE,NEG,levant
" اقلها اليمن مستقره نوعاً ما ،اما حلب فكم دوله تحارب سوريا ولا زال السوريين يدافعون عن بلادهم اللتي تدمرت بسبب روسيا",FALSE,NEG,msa
الله ياخذ جاك على هالجوده زين,FALSE,NEG,msa
نتحمل مسؤولية الحفاظ على الرسائل من بعد تنسيقها بحيث لا يمكن الوصول إليها إلا من قبل صاحب الرسالة ,FALSE,NEU,msa
ممثل الجمهورية العربية السورية يسترجع نزار قباني وذكرياته في المدرسة   ,FALSE,POS,msa
 بنعتذر لحضرتك يا فندم علي التاخير سيتم اقلاع الرحلة في تمام الساعة   تحت رقم  بدلا من  بنتمنالك رحلة سعيدة,FALSE,POS,egypt
صرت موا ,FALSE,POS,msa
انتخبواالعرص بقت مكتوبة ف كل شوارع مصر,TRUE,NEG,egypt
هاري بوتر يعود من جديد  ,FALSE,NEU,egypt
جبير ايه ؟ دا وزير الشؤون الخارجية القطري ذات نفسه عندنا بس عشان اجتماع الجامعة العربية  ,FALSE,NEU,msa
يوسف الحسينى يسب السعودية لقطعها المساعدات عن سيسى يا شحاتين ياارهابيين احنا يا ما اديناكم رز ومحدش حماكم غيرنا,TRUE,NEG,gulf
  شاهد كيف كشفت روسيا إطلاق صواريخ باليستية إسرائيلية وأمريكية تجاه سوريا   ,FALSE,NEU,msa
 نفس من عبدوا كاسترو من العرب يعبدون الولي السفيه و بوتن اليوم,TRUE,NEG,msa
   نشطتها مال هاري بوتر احس ,FALSE,NEU,gulf
"مررررررزوووقفاااااااالحالحححححبييييينيالولي،",FALSE,POS,msa
كلناااالدلمانيتدريجيًا بدأت افقد القدرة على إنشاء صداقات وفتح حوارات طويله او أي شيء يحتاج بداية,FALSE,POS,msa
"ألحين العيناويه مأبيسكتون تري الوحده ناقص  لاعبين واجانب محد ويلعبون بالصغار ،  واضح",FALSE,NEG,msa
هههههه شخص برمضان أذكر كتبت له نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجئ بوجوده معاي بمااده سُخريه القدر,TRUE,NEG,msa
يارب لم يعد للقلب متسع لمزيد من الحزن,FALSE,NEG,msa
امين عام الجامعة العربية يبحث مع مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينية المحتلة ,FALSE,NEU,msa
الحقيقة اللي مش عايزين يفهموها ان النقد لو مكنش بالطريقة النضيفة دي كان هيبقى في شتايم وقلة ادب وهيزعلوا بجد   باسميوسف,TRUE,NEG,msa
 حاليا نوفاك قبله نادال قبلهم فيدرر الافضل على الاطلاق,FALSE,POS,msa
اليومالعالميللغةالعربية يفترض لها كل يوم وكل ساعة؟ لغة القرآن الذي نتلوه يوميا لغة التعليم المدرسي لغة العبادات لغة امة الخير,FALSE,POS,msa
يا رب,FALSE,POS,msa
ليبيا  عاجل إشتباكات مسلحة بالقرب من فندق ريكسوس بالعاصمة طرابلس,FALSE,NEU,msa
منع حازم عبد العظيم والسيد البدوى اكبر انصار الانقلاب العسكرى من السفر يمثل تطبيقا لمبدأ صاحب الحمير اضرب المربوط يخاف السائر,TRUE,NEG,msa
زمان كنت اغرد في السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت من تلك النجاسه معكمأدهم مصر التحرير  مرسيرئيسي السيسي,FALSE,NEG,egypt
  اللهم أنتقم منالَّذِينَ طَغَوْا فِي الْبِلَادوأرحمِالَّذِينَ أُخْرِجُوا مِن دِيَارهم بِغَيْرِ حَقٍّحلبالمنكوبة ,FALSE,NEG,msa
ماذالوالمدارسمختلطهعزيزي المعلم لاتتهاون برصد ومحاسبة الطالب على أي شي مخالف للوائح السلوك والمواظبةتطبيقها يجعل البيئة المدرسة,FALSE,POS,egypt
 كلما شاهدت طاوله الشطرنج الجميله التي تزين غرفه اجتماعاتك في بيت الوسط اتحمس ان اشاطرك المباراه الوديه يا شيخ انا مبتدئه فقط,FALSE,POS,msa
خطاب بوب ديلان في حفل نوبل كان لماح جدا خاصة في علاقة شكسبير بالأدب واللي خلاني افتكر كلام تولستوي عن السينما لما ,FALSE,NEU,egypt
الجزيرةنت وتبقىمآذنالقدس تصدح بالأذان إسرائيل القدس  ,FALSE,NEU,msa
 هذه حدثت في عهد ابن همام في عام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير ,FALSE,NEU,msa
  هيجو اصير وزيرة الصحة إلا اشنق عديلة بباب المعظم يم البوكي ستوب حتى الي يدور على بوكيمون يشوف عديله ويجوز من اللعبه,TRUE,NEU,egypt
"قال رسول الله أيما عبد أبق، فقد برئت منه الذمة رياض الصالحين ريالمدريد",FALSE,NEU,msa
العرص فى نيويورك,FALSE,NEG,egypt
أحصل الآن على دورة تدريبية مجانية في مجال الصحافة من فيسبوك في ظل مساعي شركة فيسبوك في جعل جميع المستخدمين ,FALSE,NEU,egypt
أوبر الان بالقصيمبريدة,FALSE,NEU,msa
 الخارجية الأمريكية كيري أطالب كل الأطراف بالالتزام بوقف الأعمال العدائية الذي سيسمح ,FALSE,NEU,msa
اللحيةالبيضاءونبيسلوفي ما رحم الوايت بيرد  ,FALSE,NEU,msa
إنسان أيا إنسان ما أجهلك ما اتفهك في الكون وما أضألك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقة لك عجبي صلاحجاهين,TRUE,NEG,egypt
كيف تلعب أول لعبة ماريو مخصصة لأجهزة آيفون؟  عبر  ,FALSE,NEU,msa
محافظالقاهرة إزالة العقارات المخالفة بالقرب من المحكمةالدستورية لحماية المواطنين,FALSE,POS,msa
رامى عياش عملى لايك على اغنيته  ,FALSE,POS,egypt
 الرياض حي الواحةتقاطع شارع رفحاء مع طريق ابوبكر الصديقموقعنا عبر خرائط جوجل,FALSE,NEU,egypt
"لو أنت من الناس اللي لم تؤيد أو تسكت عن ظلم أو فشل سواء في فترات مبارك أو المجلسالعسكري و مرسي و السيسي، قول",FALSE,NEU,msa
الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,FALSE,NEG,msa
"جمال الليل في نظرة عيونك ،، ونور البدر مرسوم بجفونكوكل الكون ما يسوي يا نادين بدونكالله يحميكي ندووون ",FALSE,POS,msa
عندي ثقة فيك,FALSE,POS,msa
وزير الخارجية المصري يصل مقر الجامعة العربية ويليه وزير الخارجية الفلسطيني ليبدأ اجتماع اللجنة العربية المعنية بإنهاء الاحتلال الإسرائيلي,FALSE,NEU,msa
اشرايج ف جز؟؟ انييبه بس عشان يغني ٩٩ مشكله ولا يغني مع بيونسيه  ,TRUE,NEG,gulf
ديلى ميل ترامب سينقل السفارة الأمريكية من تل أبيب إلى القدس  ,FALSE,NEU,msa
ثأر سيدبلال وغيره سيلاحققك أيها الأفاق برهامى شيوخالسلاطين تجاردين,TRUE,NEG,msa
كيف تشكلت صورة السعودي لدى الإعلام الغربي؟ وما هو الدور الذي كان يؤديه مرتزقة الإعلام؟تتبع المال يكشف حقيقة هذه المساعي فضيحةتركيالدخيل,TRUE,NEG,msa
التحكم المروري حركة المرور كثيفة من اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا الى كازينو لبنان من دون عوائق ,FALSE,NEU,msa
  تظاهرات أحوازية ضد إيران لمصادرتها أراضي جديدة بالجنوب ,FALSE,NEU,msa
الطبرسي يطابق المفيد في نفي وجود المحسنالصرخييغردولايةالفقيهولايةالطاغوتحادثهالداراثارهعواطفوجهل ,TRUE,NEG,msa
"استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء لقمة العيشما هي أسبقياتنا وأين نحن من أهداف الثورة  عيش،حرية،كرامة إنسانية ؟",FALSE,NEG,msa
الجيزة مصرمشتكيه الفاعلية الثالثه لاحرار اكتوبر امام سنترال الحى السادس,TRUE,NEU,egypt
دوت مصر كامل الوزير ل عمروأديب الرئيس أمر بإنهاء إنشاءات محطة أسوان التفاصيل   عبر نبض  ,FALSE,NEU,egypt
"لو إستمر مرسي في سياسة العناد الفاشلة سيكون الفرق الوحيد بينه وبين المخلوع مبارك أنه لا يحب أن يقضي أجازته في شرم الشيخ، على الأقل حتى الآن",TRUE,NEG,egypt
  اكثر من  غارة جوية من الطيران الروسي على عدة احياء مدينة حلب وسقوط  شهيدا و  جريحا  ومازال الدفاع المدني يعمل على ان,FALSE,NEU,egypt
  خليفتنا أردوغان رضى الله عنه ينام على الهواء خلال كلمة بوتين فى مؤتمر مشترك بإسطنبول وخبيريؤكد ان فخامته مرهق من شدة العمل,FALSE,NEG,msa
  اعلان غوغل  دليلك لحرب المناطق والشوارع والأحياء في ليبيا,FALSE,NEG,levant
أرسل المغني بوب ديلان الفائز بجائزة نوبل للأدب رسالة  يشكر فيها الأكاديمية السويدية و وصف هذا المنح بأنه شرف يضاهي الوقوف فوق القمر,FALSE,NEU,msa
القبض على المتحدث باسم حزب الحريةوالعدالة محمدع,FALSE,NEU,msa
  مسرحية سيد قطب نفس مسرحية صدام الإعلام الغربي بأشكاله يريد تثبيت صورة متلبسين الإسلام بصورة المخلص فلا تكن فريسة للغرب,FALSE,NEG,msa
أعجبني فيديو  على  أدمان لعبة بوكيمون قو     ,FALSE,NEU,msa
"ستون عاماً وفي لبنان أخوة لاجئين فلسطينيين، ولم يكن لهم وزيراً لشؤونهملكن الأخوة النازحين السوريين حظهم مع الحكومة نارنخترعوزارةلوزير",TRUE,NEG,levant
اليمنية  الناتو واثق من حفاظ  ترامب علي قيادة الولاياتالمتحدة للحلف,FALSE,NEU,msa
الولاياتالمتحدة احتجاز صحفى كندى كان يتجه لموقع الاحتجاجات على مد خط البترول فى نورث الولايات المتحدةداكوتا لمدة ساعات يثير المخ ,FALSE,NEU,msa
اللهم عليك بالظالمين لافروف,FALSE,NEU,msa
تدهور الحالة الصحيّة لعائلات شهداء وجرحى الثورة المضربين عن الطعام,FALSE,NEG,msa
الي يبا يشوف  الصدقي يشوفني يوم اكون وسط ناس مادانيهم,FALSE,NEU,levant
عمروأديب أردوغان بيصوت و تركيا بتسف التراب الاسبوع ده هههههههههههههه حرقاك يا أقرع,TRUE,NEG,egypt
               فى قلبى  ما أموووووت,FALSE,POS,egypt
"مدفن القاهرة للعدالة ماذا يحدث الآن فى مطار القاهرة ، الشرطة تمنع أوائل الحقوق  وترحب وتفسح للمتأخرين الفاشلين",TRUE,NEG,msa
 لو شاطرة تفهمها او تروح للشيخ غوغل يترجمها بأهبل من هيك ,TRUE,NEU,egypt
باحضان يا غالية الجونة,FALSE,POS,egypt
من قايل لجراح الهبيده انك حلو ؟ والله يا معطي نفسه وضعيه جستن بيبر بسنابه ,TRUE,NEG,gulf
طبت طيب أوردوغان والله لا ينفع مع الأوغاد الإيرانيين أو الروس أو السوريين إلا التهديدبالقصف الجوي والأرضي إن اعتدوا على النازحين السوريين,FALSE,POS,msa
مباشرمنرابعةستبقيحلبشاهد طفل سوري يلقي قصيدة مؤثرة وهو يبكي فليذكر التاريخ  أعداد الصواريخ  تقتل ,FALSE,NEG,msa
لاتسأليني ليييش عن رجمي نزلتذيب الخلا لاجااااع عن رجمه نزلعن الغزل وسماان الأفكار اعتزلتكل شي في عيني  بعد غبتي هزل,FALSE,NEG,gulf
موسكو استئناف المفاوضات السورية في كازاخستان أمر واقعيميخائيلبوغدانوف ,FALSE,NEU,msa
طريقة تعطيل محرك البحث بينج في ويندوز  ,FALSE,NEU,msa
"جيش السيسي يهدم بيوتنا؛ لإقامة منطقة عازلة بين سيناء وغزة أين أقنية التصهين؟ لا ورواري العربية يلطم، ولا منتهاه",TRUE,NEG,msa
ما شاء الله متخذين كامل الإجراءات الصحية آخر شي النطرة عبارة عن لعبة الكراسي,FALSE,NEU,levant
  مصر في الأخبار أغذية ملوثةأكل لحوم الحميرإعتقالات قسريةقتل بلا محاكمةحرب على الإسلامتحالف مع سفاحي حلبطعن في ظهر ,TRUE,NEG,egypt
جريدةالميدان  الناتوالناتو ضباط أتراك طلبوا اللجوء وعدم العودة إلى أنقرة ,FALSE,NEU,msa
ابتسم في وجه الناس فإنها صدقة,FALSE,POS,msa
   عالم الكرة الصفراء كان يتيماً حتى جاء فيدرر و اخرج جمال هذه الرياضة للعالم,FALSE,POS,msa
نوال الزغبي شو بتعملي ؟؟,FALSE,NEU,levant
  ديميتروف إلى هذا الحد استطاع التغلب علىنادالجوكوفيتشمورايفافرينكالكن لم يستطع التغلب على الذي علمه السحرروووووجير,TRUE,NEU,msa
احتفالات الدون على طريقة ,FALSE,NEU,egypt
"في الوقت اللي يجتاح فيه اليمين المتطرف أوروبا وترامب أمريكا والعالم ، يتم تعيين ملحد يبت في أمور المسلمين   اوللادينيبمجلسالشوري",TRUE,NEG,levant
   النظام الصحي الأمريكي يحرم أكثر من  مليون أمريكي من العلاج ,FALSE,NEU,msa
  نجوم مصرية  تاريخ مباراة السعودية واليابان القادمة فى تصفيات كاس العالم ,FALSE,NEU,msa
طيرانُ العدوان يشُنُّ سلسلةَ غاراتٍ على عددٍ من محافظات الجمهورية  اليمن نجران ,FALSE,NEU,msa
كل شي بيرفكتتت حرفيا,FALSE,POS,egypt
أيمن يونس يؤكدالزمالك لا يشارك فى دورة فى قطر لموقفها من مصر حكومتك يا كابشن بتتفاوض مع قطر عشان تشحت غاز,FALSE,NEG,egypt
ثلوج متوقعة على المناطق الشمالية والجوف فجر الثلاثاء طقسالعرب,FALSE,NEU,msa
ريكي مارتن بعد حريم العالم كلها اللي قدامو اختار انه يخطب جوان  جوان دا واحد من اصول عربية  وانا اللي كنت فاكرك نينجا  طلعت ,TRUE,NEG,egypt
باسمطلعحرامي  عاشقمصر,TRUE,NEG,egypt
اطمنوا ايها النبلاء تعز بخير فقط روايح جثث الحوثي والمخلوع أزعجت الساكنين حتى الكلاب ترفض لحومهم النجسهالتكبير من فوق جبل هان الان اليمن,TRUE,NEG,msa
اليمنية تعيين عبدالواحدالدعام عضواً في مجلس الشورىالتحالفالعربيسنداليمنجنودالتحالفسندلليمن,FALSE,NEU,msa
ديوان الوقف السني يقيم احتفالية بمناسبة ذكرى المولد النبوي الشريف في مخيم حي الجامعة للنازحين ,FALSE,NEU,msa
روسيا و الصين تستخدمان حق الفيتو وتفشلان هدنة حلب سورياتمدن ,FALSE,NEU,msa
لولا لغة السي لبرمجة الحاسوب ماكان فيه كومبيوترات اساسا  مات مكتشف اللغة العظيمة ولا احد طق له خبر   ,FALSE,NEG,msa
يونجون هنا؟ بكييت لاا ,FALSE,NEU,msa
اليمنية  شهيدا و مصابا في خروقاتالإنقلابيين بتعز خلال  ساعةالتحالفالعربيسنداليمن,FALSE,NEU,msa
لاول مرة منذ  عام يكون روجر فيدرر و رافا نادال خارج المراكز الاربعه الاولى في تصنيف الاتحاد العالمي للتنس  ,FALSE,NEU,msa
  ياروافض بلا كلام وإلا سوف أخرجالعراق بغداد البصره كربلاء النجف لبنان البحرين الكويت قطر سوريا عمان الأردن ,TRUE,NEG,msa
"سيدناالنبي كان طيب الرائحة، وإذا صافحه أحد ظل بيده عطره سائر اليوم صلى الله عليك يا سيدي يا رسول الله",FALSE,POS,msa
الله من نزع ملكم لغدركم وليس السيسي الله من أذهب حكمكم لعدم إخلاصكم الله من إستبدلكم لأنكم خنتم الأمانة ووليتم من لا,FALSE,NEG,msa
  تويتر تنزف دولارات ببورصة نيويورك بعد أنباء عن تراجع جوجل عن الاستحواذ  ,FALSE,NEG,msa
ليه مستكترين إن الست تنفيطيب شكرا ليها إنها نفت كلام طائفي زي دهولازم يتم عمل تحقيقات قضائية لإثبات وجود قرصنة ولو طلع كدب ساعتها تتحاسب,FALSE,NEU,egypt
   تحقيق اعلى دخل مع اوبر ,FALSE,NEU,egypt
بوتين ودعم اليمين المتطرف في العالم ,FALSE,NEU,msa
وكيل رمضان صبحي يصف اللاعب بالاستثنائي ويوضح الفرق بينه وبين صلاح  ,FALSE,NEU,msa
  مع هدف الباراغواي رجعنا لنغمة ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهائي و,FALSE,NEU,egypt
  الحسين رضي الله عنه كان سابق عصره ويستخدم غوغل مابس ,FALSE,NEU,msa
 طبعا هذول خرفان شهرةيعني تلاقيه يلعب بوكيمونيتكلم عن طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه ,TRUE,NEG,magreb
ريكيمارتن يعلن خطوبته من فنان سوري  الموجز   منوعات ,FALSE,NEU,msa
أوباما يندد بتصريحات ترامب المهينة والمخزية بحق النساء ندّد الرئيس الأميركي باراك أوباما الأحد بالتصريحات  ,FALSE,NEU,msa
  سؤال يحتاج إلى جوابمصر تغلق مسجد الحسين امام الرافضة لإحياء عاشوراءتركيا وأردوغان تسمح للرافضة بإحياء عاشوراء,FALSE,NEU,msa
 صدر أليسا وجه رؤى الصبان شعر و رشاقه ميريام فارس و مكوه روبيو عيون زينب ذيك المغربيه و الصوت مثل نوال الكويتيه وبس والله,FALSE,NEU,levant
الجهء من الشعب المصري فضحونا فى كل مناطق العالم بالهاش تاج المسي و نعمه التحضر    سأنتخبالسيسىومشهنزللمستواك,TRUE,NEG,msa
"هذا إن أشار أو وشى، فإنما يشي بإنه مفيش أي قيمة وطنية موجودة عند هذا التنظيم ولا أبناء هذا التنظيم",FALSE,NEG,egypt
من ساعة أبل لهواتف سامسونج أجهزة يمنع السياسيون من استخدمها لإجراءات أمنية  البحرين الكويت السعودية الإمارات ,FALSE,NEU,msa
الولاياتالمتحدة  ترامب يتخلى عن أعماله التجارية للتركيز على العمل السياسي ,FALSE,NEU,msa
  اذكر اسم أو صفة لخاتم النبيين  في القرآن الكريم ؟ممكن ارسال أكثر من اسمبمنشن مختلف٣ آيفون  بالقرعةريتويت فض,FALSE,NEU,msa
  المهاجر أبوحمزه الشيعي العراقيمن قلب محروق يهاجم حكومة اللصوص وأصحاب العمائم عصابات العراق بغداد البصره كربلاء النجف,TRUE,NEG,msa
تفعيل الوضع الليلي على  ابل ايفون٧   ,FALSE,NEU,msa
"يا حلب أنتي عنوان الصمودبإذن ربـي ، لا لن  تسقطـين ٰرغـم  حلف ، الروافض واليهودرغـم  بوتـن و بشار  اللعين",FALSE,POS,msa
البرلمان  الاحتلال ينصب عشرات الحواجز العسكرية في القدس المحتلة  ,FALSE,NEU,msa
  السيسي يصف الاسلام بالارهاب المتطرف ويدعوا لمحاربته تحت مظلة الإرهاب وذلك على قناة  ليرضي أعداء الإسلام خيانه عظمى مصر,TRUE,NEG,msa
  قوقل يتعاطون زقمسوين حملة للتحسين ترجمة قوقل عشان النازحين السوريينوهنا حاطينه رئيس سوريا,FALSE,POS,msa
بشار الأسد يرفع رسوم  الإقامة  في سوريا    ,FALSE,NEG,msa
تراث باراك أوباما السياسي   محمد الرميحي ,FALSE,NEU,msa
لم تغلق قناة الفراعين لانها الاكثر كذبا او فجورا ولكن لانها الاقل احترافية فى الكذب والفجور,TRUE,NEG,msa
شاهد  يسري فوده ومن يأمن لمن قال يوماً طز ف مصر ,FALSE,NEU,egypt
اقصد منجد تستاهل هالتحفة الفنية   ,FALSE,POS,msa
 حكاية جايي تحتل المرتبة الاولى على عرش الاغنية العربية برافو امير عمل بنفتخر فيه اميرالليل ,FALSE,POS,egypt
حوار خاص مع النجمة ناديننسيبنجيم لمجلة ماري كلير العربية   ,FALSE,NEU,msa
 الله ينور عليك يا دكتور هو ده التفكير اللى عايزينه مش كم مسجد وكم كنيسه,FALSE,POS,egypt
"الوقت ليس متأخر على البداية من الصفر، وهو خير من السير في طريق الجميع يعلم نهايتهمليونيةديسمبر",FALSE,NEU,msa
ريكى مارتن يظهر بخاتم خطبته من الفنان السورى جوان يوسف  ,FALSE,NEU,msa
يالرخيص ٥٠٠ عاد ,FALSE,NEU,msa
صور طبيعيه  متحركه للسحب خلال ثلاث ساعات ماضيه سحابالخير عالمالطقس طقسالسعودية طقسالعرب ,FALSE,NEU,msa
بالفيديو عكاشة والله هيفاءوهبي ست مش طرية واللى يتجوزها يبقى خد خازوق  بوابةالقاهرة مصر توفيقعكاشة,FALSE,NEG,egypt
"الإخوان اختاروا رضا الأمريكان خلاص، بانت من زمان وده اللي هيعمق خلافهم مع السلفيين ومش بعيد تلاقيهم بيعايروا السلفيين بعلاقة بعضهم بالأمن",FALSE,NEG,egypt
شاهد  زينة آخر عيد ميلاد لاوباما في البيت الأبيض أميركا باراكأوباما الولاياتالمتحدة أعياد عيد الميلاد ,FALSE,POS,msa
وش فائدة فلسطين و القدس والـ فلسطينيين  في المذهب الرافضي والمجوسي  هذولا اللي يغررون بكم ويتاجرون بقضيتكم وارض ,FALSE,NEG,gulf
اليمنية مجلس الوزراء السعودي  ضرورة وضع حد للممارسات الميليشيا وأعوانهمالتحالفالعربيسنداليمن,FALSE,NEU,msa
