tweet,sarcasm,sentiment,dialect
330 وقت الشدة في ظنتي الجيش المصري حيوقف مع السعودية ماراح يتبعو سيسي ولا غيروا عشان كذا لعاد يوزعو فلوس خلاص كفاية,TRUE,NEG,egypt
عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش إذاعة البيان 29,FALSE,NEU,msa
القطريين اختتطفو لانهم من الاسره الحاكمه وليس لانهم سنه لغرظ مساومتهم في اسراهم في سوريا من حزب الله والله يفك اسرا,FALSE,NEG,msa
انت لسه مبقتش من شركاء اوبر الفرصه لسه فأديك و بـ 4 خطوات بس 1 هتجيب فيش وتشبيه موجه لشركه اوبر2 717,FALSE,NEU,egypt
مفحوص مفعوص من حماة المحتله ترك حماة وحلب والساحل النصيري وذهب يشتغل كلب عند الناتو لجهنم وبئس المصير درع_الفرات 63,TRUE,NEG,msa
عاجل عرسال عاصفة ثلجية تهدد حياة الالاف النازحين السوريين في منطقة عرسال ماسة_الثورة_السورية,FALSE,NEU,msa
لو_كان_بخاطري نفسي اطلع لعمل تطوعي لمساعدة النازحين السوريين,FALSE,POS,levant
انا اشفق على هيلاري كلنتون فهي مضطره لمناظره خبل نص كلامه مو مفهوم,TRUE,NEG,msa
دولة_الخلافة القوات العراقية تفكك العبوات الناسفة التي خلفها داعش بجزيرة الرمادي,FALSE,NEU,msa
____ برضو سأنتخب_السيسى_و_مش_هنزل_لمستواك,FALSE,NEG,egypt
انتخاب مرسي بالقطع ليس سبة ولدى اصدقاء لا اشك في ثوريتهم انتخبوه لكني ببساطة لم انتخبه وقاطعت وان كان هو الان الرئيس الشرعي,FALSE,NEU,msa
خطر_في_القدس يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا القدس وآخرها صوت مآذنها الذي يقاوم الاحتلال,FALSE,NEG,msa
81 46 2030 _12 العصابة الوهابية تحارب جبهة النصرة وتركت جيوش المجوس تسرح في حلب ههههههه,TRUE,NEG,msa
هههههههههههههه كمان حكاها بشار الأسد بعد ما صلى العيد بداريا 01,TRUE,NEG,levant
ماجدة_واصف لا أعرف من هي سما_المصري و مهرجان_القاهرة_السينمائي لم يوجه الدعوة لها مصريات 9,TRUE,NEG,msa
_1 الارهاب_صناعه_امريكيه_لاسعوديه قانون_جاستا محمد الملا يتكلم عن مذكرات هيلارى كلنتون 424,FALSE,NEG,msa
قبل كنت اتابع فيدرر بس كرهت نادال يوم طلع,FALSE,NEG,gulf
شمعة الكترونية لمستخدمي أجهزة أبل 89 882,FALSE,NEU,msa
صار حزب_الله مثل فيلق_القدسيتحدث عن فلسطين وهو يقتل العرب ويدمر حلب,FALSE,NEG,levant
الإعلامي عكاشة اتغير 180درجة بقي بيبرر ارتفاع جميع الأسعار علي المواطن محدود الدخل بكل الوسائل وبقي زي القط الاليف هي مرتبات الاعلاميين بتعمل كدة,TRUE,NEG,msa
6_352 85 جستن بيبر,FALSE,NEU,msa
حماس ما بعد مشعل بعيون إسرائيل 3 06,FALSE,NEU,msa
حواري مع النجمة الذهبية نوال_الزغبي على صفحات جريدة الوطن وتصرح الآن أصبحت ناضجة _ 74,FALSE,POS,msa
الانفاق قاتلة الجنود والمدرعات في حلب جبهة_النصرة اشترت من داعش أسلحة من تدمر 909 4,FALSE,NEG,msa
_ لا انا انصحك تعدل لغتك العربية بعدها تدخل الجامعة,FALSE,NEG,egypt
طول م انا بتخانق وبعاتبك يبقا لسه باقيه عليك وبحبك المصيبه بقا لو بطلت اعمل كدا اعرف انك مبقتش تهمني ولا تفرق معايا,FALSE,NEG,msa
19 نادين نسيب نجيم,FALSE,NEU,msa
اليوم يمكن اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي,FALSE,NEU,levant
اللهم كما نصرت عبدك موسى في مثل هذا اليوم فأنصر عبادك في العراق و سوريا و اليمن نصرا عاجلا و نسألك أن تحمي وطننا وجنودن,FALSE,POS,msa
محد صاح 94,FALSE,NEU,msa
_ يعني على اساس لو ما حلف الناتو والسعودية وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا على مخفر,FALSE,NEG,gulf
الاهلي_ضمك_دوووري_المحترررفينإذا أراد أحدكم الكلام فعليه أن يفكر في كلامه فإن ظهرت المصلحة تكلم وإن شك لم يتكلم حتى تظهر,FALSE,NEU,levant
كارثة يرتكبها كل من يقول أن المولد_النبوي بدعة الإسلام أهل_السنة ألأزهر المولد_الشريف الدعوة_النجدية 5,FALSE,NEG,msa
الله يرحمه ويعفو عنهكان من حزب الخونهاللهم تجاوز عنه واغفر له وامسح ذنوبه يارب,FALSE,NEG,msa
اللهم أنصر أخواننا في حلـب وارحم المستضعفين منهم واجعل تدبير اعداءهم في تدميرهم وعجّل لنا بنصـرهم يارحيم 806,FALSE,POS,msa
في قلبي رجل يلغي كل رجال 018,FALSE,POS,msa
مباريات_الخميس 15 ديسمبر ريال_مدريد_كلوب_أمريكا الشباب_الإتفاق الباطن_الفيصلي الجيش_الغرافه جنوى_فيورنتينا 59,FALSE,NEU,msa
اتفاق بملياري دولار بين الصين و مصر لتبادل العملات с помощью,FALSE,NEU,msa
إثر هجومهما الهمجي على حلب البيت الأبيض يحذر الأسد و روسيا سوريا واشنطن روسيا_تحرق_حلب تدمير_المشافي,FALSE,NEG,levant
"33 اقلها اليمن مستقره نوعاً ما ،اما حلب فكم دوله تحارب سوريا ولا زال السوريين يدافعون عن بلادهم اللتي تدمرت بسبب روسيا",FALSE,NEG,msa
الله ياخذ جاك على هالجوده زين,FALSE,NEG,msa
نتحمل مسؤولية الحفاظ على الرسائل من بعد تنسيقها بحيث لا يمكن الوصول إليها إلا من قبل صاحب الرسالة 347,FALSE,NEU,msa
ممثل الجمهورية العربية السورية يسترجع نزار قباني وذكرياته في المدرسة,FALSE,POS,msa
بنعتذر لحضرتك يا فندم علي التاخير سيتم اقلاع الرحلة في تمام الساعة 18 00 تحت رقم 1800 بدلا من 800 بنتمنالك رحلة سعيدة,FALSE,POS,egypt
صرت موا,FALSE,POS,msa
انتخبوا_العرص بقت مكتوبة ف كل شوارع مصر,TRUE,NEG,egypt
هاري بوتر يعود من جديد 6,FALSE,NEU,egypt
جبير ايه ؟ دا وزير الشؤون الخارجية القطري ذات نفسه عندنا بس عشان اجتماع الجامعة العربية 86,FALSE,NEU,msa
يوسف الحسينى يسب السعودية لقطعها المساعدات عن سيسى يا شحاتين ياارهابيين احنا يا ما اديناكم رز ومحدش حماكم غيرنا,TRUE,NEG,gulf
شاهد كيف كشفت روسيا إطلاق صواريخ باليستية إسرائيلية وأمريكية تجاه سوريا 87 _,FALSE,NEU,msa
007 نفس من عبدوا كاسترو من العرب يعبدون الولي السفيه و بوتن اليوم,TRUE,NEG,msa
_3 __18 نشطتها مال هاري بوتر احس,FALSE,NEU,gulf
"مررررررزوووق_فاااااااالح_الحححححبييييينيالولي،6",FALSE,POS,msa
كلنا_ااالدلمانيتدريجيًا بدأت افقد القدرة على إنشاء صداقات وفتح حوارات طويله او أي شيء يحتاج بداية,FALSE,POS,msa
"ألحين العيناويه مأبيسكتون تري الوحده ناقص 8 لاعبين واجانب محد ويلعبون بالصغار ، واضح",FALSE,NEG,msa
هههههه شخص برمضان أذكر كتبت له نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجئ بوجوده معاي بمااده سُخريه القدر,TRUE,NEG,msa
يارب لم يعد للقلب متسع لمزيد من الحزن,FALSE,NEG,msa
امين عام الجامعة العربية يبحث مع مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينية المحتلة,FALSE,NEU,msa
الحقيقة اللي مش عايزين يفهموها ان النقد لو مكنش بالطريقة النضيفة دي كان هيبقى في شتايم وقلة ادب وهيزعلوا بجد باسم_يوسف,TRUE,NEG,msa
حاليا نوفاك قبله نادال قبلهم فيدرر الافضل على الاطلاق,FALSE,POS,msa
اليوم_العالمي_للغة_العربية يفترض لها كل يوم وكل ساعة؟ لغة القرآن الذي نتلوه يوميا لغة التعليم المدرسي لغة العبادات لغة امة الخير,FALSE,POS,msa
يا رب,FALSE,POS,msa
ليبيا عاجل إشتباكات مسلحة بالقرب من فندق ريكسوس بالعاصمة طرابلس,FALSE,NEU,msa
منع حازم عبد العظيم والسيد البدوى اكبر انصار الانقلاب العسكرى من السفر يمثل تطبيقا لمبدأ صاحب الحمير اضرب المربوط يخاف السائر,TRUE,NEG,msa
زمان كنت اغرد في السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت من تلك النجاسه معكم_أدهم مصر التحرير مرسي_رئيسي السيسي,FALSE,NEG,egypt
00101 اللهم أنتقم منالَّذِينَ طَغَوْا فِي الْبِلَادوأرحمِالَّذِينَ أُخْرِجُوا مِن دِيَارهم بِغَيْرِ حَقٍّ حلب_المنكوبة,FALSE,NEG,msa
ماذا_لو_المدارس_مختلطهعزيزي المعلم لاتتهاون برصد ومحاسبة الطالب على أي شي مخالف للوائح السلوك والمواظبة تطبيقها يجعل البيئة المدرسة,FALSE,POS,egypt
كلما شاهدت طاوله الشطرنج الجميله التي تزين غرفه اجتماعاتك في بيت الوسط اتحمس ان اشاطرك المباراه الوديه يا شيخ انا مبتدئه فقط,FALSE,POS,msa
خطاب بوب ديلان في حفل نوبل كان لماح جدا خاصة في علاقة شكسبير بالأدب واللي خلاني افتكر كلام تولستوي عن السينما لما,FALSE,NEU,egypt
الجزيرة نت وتبقى_مآذن_القدس تصدح بالأذان إسرائيل القدس 44 90,FALSE,NEU,msa
18 هذه حدثت في عهد ابن همام في عام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير 63,FALSE,NEU,msa
هيج_و اصير وزيرة الصحة إلا اشنق عديلة بباب المعظم يم البوكي ستوب حتى الي يدور على بوكيمون يشوف عديله ويجوز من اللعبه,TRUE,NEU,egypt
"قال رسول الله أيما عبد أبق، فقد برئت منه الذمة رياض الصالحين ريال_مدريد",FALSE,NEU,msa
العرص فى نيويورك,FALSE,NEG,egypt
أحصل الآن على دورة تدريبية مجانية في مجال الصحافة من فيسبوك في ظل مساعي شركة فيسبوك في جعل جميع المستخدمين,FALSE,NEU,egypt
أوبر الان بالقصيم بريدة _,FALSE,NEU,msa
الخارجية الأمريكية كيري أطالب كل الأطراف بالالتزام بوقف الأعمال العدائية الذي سيسمح,FALSE,NEU,msa
اللحية_البيضاء ون_بيسلوفي ما رحم الوايت بيرد 9239,FALSE,NEU,msa
إنسان أيا إنسان ما أجهلك ما اتفهك في الكون وما أضألك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقة لك عجبي صلاح_جاهين,TRUE,NEG,egypt
كيف تلعب أول لعبة ماريو مخصصة لأجهزة آيفون؟ 5 عبر,FALSE,NEU,msa
محافظ_القاهرة إزالة العقارات المخالفة بالقرب من المحكمة_الدستورية لحماية المواطنين,FALSE,POS,msa
رامى عياش عملى لايك على اغنيته,FALSE,POS,egypt
140041 الرياض حي الواحةتقاطع شارع رفحاء مع طريق ابوبكر الصديق موقعنا عبر خرائط جوجل 72,FALSE,NEU,egypt
"لو أنت من الناس اللي لم تؤيد أو تسكت عن ظلم أو فشل سواء في فترات مبارك أو المجلس_العسكري و مرسي و السيسي، قول",FALSE,NEU,msa
الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,FALSE,NEG,msa
"جمال الليل في نظرة عيونك ،، ونور البدر مرسوم بجفونكوكل الكون ما يسوي يا نادين بدونكالله يحميكي ندووون",FALSE,POS,msa
عندي ثقة فيك,FALSE,POS,msa
وزير الخارجية المصري يصل مقر الجامعة العربية ويليه وزير الخارجية الفلسطيني ليبدأ اجتماع اللجنة العربية المعنية بإنهاء الاحتلال الإسرائيلي,FALSE,NEU,msa
اشرايج ف ج ز؟؟ انييبه بس عشان يغني ٩٩ مشكله ولا يغني مع بيونسيه 81519,TRUE,NEG,gulf
ديلى ميل ترامب سينقل السفارة الأمريكية من تل أبيب إلى القدس 4197,FALSE,NEU,msa
ثأر سيد_بلال وغيره سيلاحققك أيها الأفاق برهامى شيوخ_السلاطين تجار_دين,TRUE,NEG,msa
كيف تشكلت صورة السعودي لدى الإعلام الغربي؟ وما هو الدور الذي كان يؤديه مرتزقة الإعلام؟تتبع المال يكشف حقيقة هذه المساعي فضيحة_تركي_الدخيل,TRUE,NEG,msa
التحكم المروري حركة المرور كثيفة من اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا الى كازينو لبنان من دون عوائق 98,FALSE,NEU,msa
تظاهرات أحوازية ضد إيران لمصادرتها أراضي جديدة بالجنوب,FALSE,NEU,msa
الطبرسي يطابق المفيد في نفي وجود المحسن الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت حادثه_الدار_اثاره_عواطف_وجهل 4,TRUE,NEG,msa
"استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء لقمة العيش ما هي أسبقياتنا وأين نحن من أهداف الثورة عيش،حرية،كرامة إنسانية ؟",FALSE,NEG,msa
الجيزة مصر_مش_تكيه الفاعلية الثالثه لاحرار اكتوبر امام سنترال الحى السادس,TRUE,NEU,egypt
دوت مصر كامل الوزير ل عمرو_أديب الرئيس أمر بإنهاء إنشاءات محطة أسوان التفاصيل عبر نبض 2,FALSE,NEU,egypt
"لو إستمر مرسي في سياسة العناد الفاشلة سيكون الفرق الوحيد بينه وبين المخلوع مبارك أنه لا يحب أن يقضي أجازته في شرم الشيخ، على الأقل حتى الآن",TRUE,NEG,egypt
_ اكثر من 30 غارة جوية من الطيران الروسي على عدة احياء مدينة حلب وسقوط 30 شهيدا و 60 جريحا ومازال الدفاع المدني يعمل على ان,FALSE,NEU,egypt
18 خليفتنا أردوغان رضى الله عنه ينام على الهواء خلال كلمة بوتين فى مؤتمر مشترك بإسطنبول وخبيريؤكد ان فخامته مرهق من شدة العمل,FALSE,NEG,msa
اعلان غوغل دليلك لحرب المناطق والشوارع والأحياء في ليبيا,FALSE,NEG,levant
أرسل المغني بوب ديلان الفائز بجائزة نوبل للأدب رسالة يشكر فيها الأكاديمية السويدية و وصف هذا المنح بأنه شرف يضاهي الوقوف فوق القمر,FALSE,NEU,msa
القبض على المتحدث باسم حزب الحرية_والعدالة محمد_ع,FALSE,NEU,msa
_ مسرحية سيد قطب نفس مسرحية صدام الإعلام الغربي بأشكاله يريد تثبيت صورة متلبسين الإسلام بصورة المخلص فلا تكن فريسة للغرب,FALSE,NEG,msa
أعجبني فيديو على أدمان لعبة بوكيمون قو,FALSE,NEU,msa
"ستون عاماً وفي لبنان أخوة لاجئين فلسطينيين، ولم يكن لهم وزيراً لشؤونهم لكن الأخوة النازحين السوريين حظهم مع الحكومة نار نخترع_وزارة_لوزير",TRUE,NEG,levant
اليمنية الناتو واثق من حفاظ ترامب علي قيادة الولايات_المتحدة للحلف 56,FALSE,NEU,msa
الولايات_المتحدة احتجاز صحفى كندى كان يتجه لموقع الاحتجاجات على مد خط البترول فى نورث الولايات المتحدةداكوتا لمدة6 ساعات يثير المخ 2,FALSE,NEU,msa
اللهم عليك بالظالمين لافروف,FALSE,NEU,msa
تدهور الحالة الصحيّة لعائلات شهداء وجرحى الثورة المضربين عن الطعام,FALSE,NEG,msa
الي يبا يشوف الصدقي يشوفني يوم اكون وسط ناس مادانيهم,FALSE,NEU,levant
عمرو_أديب أردوغان بيصوت و تركيا بتسف التراب الاسبوع ده 638 هههههههههههههه حرقاك يا أقرع,TRUE,NEG,egypt
فى قلبى ما أموووووت,FALSE,POS,egypt
"مدفن القاهرة للعدالة ماذا يحدث الآن فى مطار القاهرة ، الشرطة تمنع أوائل الحقوق وترحب وتفسح للمتأخرين الفاشلين",TRUE,NEG,msa
18 لو شاطرة تفهمها او تروح للشيخ غوغل يترجمها بأهبل من هيك,TRUE,NEU,egypt
باحضان يا غالية الجونة,FALSE,POS,egypt
من قايل لجراح الهبيده انك حلو ؟ والله يا معطي نفسه وضعيه جستن بيبر بسنابه,TRUE,NEG,gulf
طبت طيب أوردوغان والله لا ينفع مع الأوغاد الإيرانيين أو الروس أو السوريين إلا التهديدبالقصف الجوي والأرضي إن اعتدوا على النازحين السوريين,FALSE,POS,msa
مباشر_من_رابعة ستبقي_حلب شاهد طفل سوري يلقي قصيدة مؤثرة وهو يبكي فليذكر التاريخ أعداد الصواريخ تقتل 9,FALSE,NEG,msa
لاتسأليني ليييش عن رجمي نزلتذيب الخلا لاجااااع عن رجمه نزلعن الغزل وسماان الأفكار اعتزلتكل شي في عيني بعد غبتي هزل,FALSE,NEG,gulf
موسكو استئناف المفاوضات السورية في كازاخستان أمر واقعي 612 ميخائيل_بوغدانوف 6984,FALSE,NEU,msa
طريقة تعطيل محرك البحث بينج في ويندوز 10 741,FALSE,NEU,msa
"جيش السيسي يهدم بيوتنا؛ لإقامة منطقة عازلة بين سيناء وغزة أين أقنية التصهين؟ لا ورواري العربية يلطم، ولا منتهاه",TRUE,NEG,msa
ما شاء الله متخذين كامل الإجراءات الصحية آخر شي النطرة عبارة عن لعبة الكراسي,FALSE,NEU,levant
_ مصر في الأخبار أغذية ملوثةأكل لحوم الحميرإعتقالات قسريةقتل بلا محاكمةحرب على الإسلامتحالف مع سفاحي حلبطعن في ظهر,TRUE,NEG,egypt
جريدة_الميدان الناتو الناتو ضباط أتراك طلبوا اللجوء وعدم العودة إلى أنقرة 6,FALSE,NEU,msa
ابتسم في وجه الناس فإنها صدقة,FALSE,POS,msa
_ 89 عالم الكرة الصفراء كان يتيماً حتى جاء فيدرر و اخرج جمال هذه الرياضة للعالم,FALSE,POS,msa
نوال الزغبي شو بتعملي ؟؟,FALSE,NEU,levant
3_ ديميتروف إلى هذا الحد استطاع التغلب على نادالجوكوفيتشمورايفافرينكالكن لم يستطع التغلب على الذي علمه السحرروووووجير,TRUE,NEU,msa
احتفالات الدون على طريقة,FALSE,NEU,egypt
"في الوقت اللي يجتاح فيه اليمين المتطرف أوروبا وترامب أمريكا والعالم ، يتم تعيين ملحد يبت في أمور المسلمين اول_لاديني_بمجلس_الشوري",TRUE,NEG,levant
999 النظام الصحي الأمريكي يحرم أكثر من 13 مليون أمريكي من العلاج 0,FALSE,NEU,msa
06656 نجوم مصرية تاريخ مباراة السعودية واليابان القادمة فى تصفيات كاس العالم 90,FALSE,NEU,msa
طيرانُ العدوان يشُنُّ سلسلةَ غاراتٍ على عددٍ من محافظات الجمهورية 84 اليمن نجران 5,FALSE,NEU,msa
كل شي بيرفكتتت حرفيا,FALSE,POS,egypt
أيمن يونس يؤكد الزمالك لا يشارك فى دورة فى قطر لموقفها من مصر حكومتك يا كابشن بتتفاوض مع قطر عشان تشحت غاز,FALSE,NEG,egypt
ثلوج متوقعة على المناطق الشمالية والجوف فجر الثلاثاء طقس_العرب,FALSE,NEU,msa
ريكي مارتن بعد حريم العالم كلها اللي قدامو اختار انه يخطب جوان جوان دا واحد من اصول عربية وانا اللي كنت فاكرك نينجا طلعت,TRUE,NEG,egypt
باسم_طلع_حرامي عاشق_مصر,TRUE,NEG,egypt
اطمنوا ايها النبلاء تعز بخير فقط روايح جثث الحوثي والمخلوع أزعجت الساكنين حتى الكلاب ترفض لحومهم النجسهالتكبير من فوق جبل هان الان اليمن,TRUE,NEG,msa
اليمنية تعيين عبدالواحد_الدعام عضواً في مجلس الشورى 34 التحالف_العربي_سند_اليمن جنود_التحالف_سند_لليمن,FALSE,NEU,msa
ديوان الوقف السني يقيم احتفالية بمناسبة ذكرى المولد النبوي الشريف في مخيم حي الجامعة للنازحين 06,FALSE,NEU,msa
روسيا و الصين تستخدمان حق الفيتو وتفشلان هدنة حلب سوريا تمدن 3,FALSE,NEU,msa
لولا لغة السي لبرمجة الحاسوب ماكان فيه كومبيوترات اساسا مات مكتشف اللغة العظيمة ولا احد طق له خبر,FALSE,NEG,msa
يونجون هنا؟ بكييت لاا 1,FALSE,NEU,msa
اليمنية 18 شهيدا و27 مصابا في خروقات_الإنقلابيين بتعز خلال 24 ساعة 83 التحالف_العربي_سند_اليمن,FALSE,NEU,msa
لاول مرة منذ 13 عام يكون روجر فيدرر و رافا نادال خارج المراكز الاربعه الاولى في تصنيف الاتحاد العالمي للتنس 45,FALSE,NEU,msa
822822 ياروافض بلا كلام وإلا سوف أخرج العراق بغداد البصره كربلاء النجف لبنان البحرين الكويت قطر سوريا عمان الأردن,TRUE,NEG,msa
"سيدنا_النبي كان طيب الرائحة، وإذا صافحه أحد ظل بيده عطره سائر اليوم صلى الله عليك يا سيدي يا رسول الله",FALSE,POS,msa
الله من نزع ملكم لغدركم وليس السيسي الله من أذهب حكمكم لعدم إخلاصكم الله من إستبدلكم لأنكم خنتم الأمانة ووليتم من لا,FALSE,NEG,msa
تويتر تنزف دولارات ببورصة نيويورك بعد أنباء عن تراجع جوجل عن الاستحواذ 8 75,FALSE,NEG,msa
ليه مستكترين إن الست تنفيطيب شكرا ليها إنها نفت كلام طائفي زي دهولازم يتم عمل تحقيقات قضائية لإثبات وجود قرصنة ولو طلع كدب ساعتها تتحاسب,FALSE,NEU,egypt
4630 191919 1988 تحقيق اعلى دخل مع اوبر 81,FALSE,NEU,egypt
بوتين ودعم اليمين المتطرف في العالم 0 82,FALSE,NEU,msa
وكيل رمضان صبحي يصف اللاعب بالاستثنائي ويوضح الفرق بينه وبين صلاح,FALSE,NEU,msa
_ مع هدف الباراغواي رجعنا لنغمة ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهائي و,FALSE,NEU,egypt
9_ الحسين رضي الله عنه كان سابق عصره ويستخدم غوغل مابس 402,FALSE,NEU,msa
8 طبعا هذول خرفان شهرةيعني تلاقيه يلعب بوكيمونيتكلم عن طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه,TRUE,NEG,magreb
ريكي_مارتن يعلن خطوبته من فنان سوري الموجز 96 منوعات 12,FALSE,NEU,msa
أوباما يندد بتصريحات ترامب المهينة والمخزية بحق النساء ندّد الرئيس الأميركي باراك أوباما الأحد بالتصريحات 0845,FALSE,NEU,msa
9 سؤال يحتاج إلى جواب مصر تغلق مسجد الحسين امام الرافضة لإحياء عاشوراء تركيا وأردوغان تسمح للرافضة بإحياء عاشوراء,FALSE,NEU,msa
_1 صدر أليسا وجه رؤى الصبان شعر و رشاقه ميريام فارس و مكوه روبيو عيون زينب ذيك المغربيه و الصوت مثل نوال الكويتيه وبس والله,FALSE,NEU,levant
الجهء من الشعب المصري فضحونا فى كل مناطق العالم بالهاش تاج المسي و نعمه التحضر سأنتخب_السيسى_و_مش_هنزل_لمستواك,TRUE,NEG,msa
"هذا إن أشار أو وشى، فإنما يشي بإنه مفيش أي قيمة وطنية موجودة عند هذا التنظيم ولا أبناء هذا التنظيم",FALSE,NEG,egypt
من ساعة أبل لهواتف سامسونج أجهزة يمنع السياسيون من استخدمها لإجراءات أمنية 74260 البحرين الكويت السعودية الإمارات,FALSE,NEU,msa
الولايات_المتحدة ترامب يتخلى عن أعماله التجارية للتركيز على العمل السياسي 8 394,FALSE,NEU,msa
اذكر اسم أو صفة لخاتم النبيين في القرآن الكريم ؟ ممكن ارسال أكثر من اسمبمنشن مختلف ٣ آيفون 7 بالقرعةريتويت فض,FALSE,NEU,msa
822822 المهاجر أبوحمزه الشيعي العراقيمن قلب محروق يهاجم حكومة اللصوص وأصحاب العمائم عصابات العراق بغداد البصره كربلاء النجف,TRUE,NEG,msa
تفعيل الوضع الليلي على 7 ابل ايفون٧ _ 48,FALSE,NEU,msa
"يا حلب أنتي عنوان الصمودبإذن ربـي ، لا لن تسقطـين ٰرغـم حلف ، الروافض واليهودرغـم بوتـن و بشار اللعين",FALSE,POS,msa
البرلمان الاحتلال ينصب عشرات الحواجز العسكرية في القدس المحتلة 88 05,FALSE,NEU,msa
822822 السيسي يصف الاسلام بالارهاب المتطرف ويدعوا لمحاربته تحت مظلة الإرهاب وذلك على قناة ليرضي أعداء الإسلام خيانه عظمى مصر,TRUE,NEG,msa
07 قوقل يتعاطون زقمسوين حملة للتحسين ترجمة قوقل عشان النازحين السوريينوهنا حاطينه رئيس سوريا,FALSE,POS,msa
بشار الأسد يرفع رسوم الإقامة في سوريا 2 0,FALSE,NEG,msa
تراث باراك أوباما السياسي محمد الرميحي 36,FALSE,NEU,msa
لم تغلق قناة الفراعين لانها الاكثر كذبا او فجورا ولكن لانها الاقل احترافية فى الكذب والفجور,TRUE,NEG,msa
شاهد يسري فوده ومن يأمن لمن قال يوماً طز ف مصر,FALSE,NEU,egypt
اقصد منجد تستاهل هالتحفة الفنية 7,FALSE,POS,msa
حكاية جايي تحتل المرتبة الاولى على عرش الاغنية العربية برافو امير عمل بنفتخر فيه امير_الليل 2,FALSE,POS,egypt
حوار خاص مع النجمة نادين_نسيب_نجيم لمجلة ماري كلير العربية _ 0,FALSE,NEU,msa
2011 الله ينور عليك يا دكتور هو ده التفكير اللى عايزينه مش كم مسجد وكم كنيسه,FALSE,POS,egypt
"الوقت ليس متأخر على البداية من الصفر، وهو خير من السير في طريق الجميع يعلم نهايته مليونية_19ديسمبر",FALSE,NEU,msa
ريكى مارتن يظهر بخاتم خطبته من الفنان السورى جوان يوسف 3,FALSE,NEU,msa
يالرخيص ٥٠٠ عاد,FALSE,NEU,msa
صور طبيعيه متحركه للسحب خلال ثلاث ساعات ماضيه سحاب_الخير عالم_الطقس طقس_السعودية طقس_العرب 834,FALSE,NEU,msa
بالفيديو عكاشة والله هيفاء_وهبي ست مش طرية واللى يتجوزها يبقى خد خازوق بوابة_القاهرة مصر توفيق_عكاشة,FALSE,NEG,egypt
"الإخوان اختاروا رضا الأمريكان خلاص، بانت من زمان وده اللي هيعمق خلافهم مع السلفيين ومش بعيد تلاقيهم بيعايروا السلفيين بعلاقة بعضهم بالأمن",FALSE,NEG,egypt
